Date,state,handgun,long_gun,other,multiple,totals
2017-02-01,Arizona,15642.0,8881.0,984.0,821,37388
2017-02-01,Arkansas,7974.0,5938.0,237.0,590,22548
2017-02-01,California,44363.0,24987.0,2898.0,0,129885
2017-02-01,Colorado,20958.0,13477.0,1235.0,1240,43577
2017-02-01,Connecticut,6445.0,2187.0,138.0,0,15209
2017-02-01,Delaware,2342.0,1663.0,64.0,102,5066
2017-02-01,District of Columbia,65.0,1.0,0.0,2,93
2017-02-01,Florida,59201.0,23479.0,2928.0,2187,117892
2017-02-01,Georgia,19007.0,9334.0,454.0,863,53177
2017-02-01,Guam,74.0,43.0,11.0,3,132
2017-02-01,Hawaii,0.0,0.0,0.0,0,1037
2017-02-01,Idaho,4051.0,3904.0,230.0,227,14936
2017-02-01,Illinois,27418.0,12635.0,0.0,1002,139697
2017-02-01,Indiana,27343.0,13221.0,1288.0,814,136193
2017-02-01,Iowa,318.0,2403.0,34.0,12,15025
2017-02-01,Kansas,8082.0,5501.0,511.0,430,19211
2017-02-01,Kentucky,14975.0,8636.0,253.0,1044,313748
2017-02-01,Louisiana,12698.0,7601.0,846.0,668,27684
2017-02-01,Maine,3758.0,2544.0,227.0,169,7731
2017-02-01,Mariana Islands,0.0,0.0,0.0,0,0
2017-02-01,Maryland,4925.0,5534.0,213.0,45,14852
2017-02-01,Massachusetts,6280.0,2901.0,404.0,156,18130
2017-02-01,Michigan,15564.0,9804.0,553.0,263,48382
2017-02-01,Minnesota,12047.0,9641.0,791.0,375,62051
2017-02-01,Mississippi,11285.0,6045.0,279.0,580,24043
2017-02-01,Missouri,26726.0,16012.0,1393.0,1477,50850
2017-02-01,Montana,2912.0,3429.0,177.0,309,10386
2017-02-01,Nebraska,171.0,1937.0,19.0,6,7122
2017-02-01,Nevada,5644.0,2732.0,301.0,308,11765
2017-02-01,New Hampshire,6092.0,3098.0,156.0,2,12282
2017-02-01,New Jersey,5904.0,3481.0,216.0,0,9601
2017-02-01,New Mexico,7032.0,4632.0,400.0,509,15364
2017-02-01,New York,11465.0,14080.0,1128.0,179,31910
2017-02-01,North Carolina,1410.0,13488.0,780.0,415,51627
2017-02-01,North Dakota,1807.0,2213.0,83.0,77,6193
2017-02-01,Ohio,36244.0,18068.0,2030.0,1583,74257
2017-02-01,Oklahoma,14051.0,9769.0,933.0,1211,30840
2017-02-01,Oregon,16425.0,11726.0,0.0,0,29183
2017-02-01,Pennsylvania,54107.0,12734.0,37.0,0,95585
2017-02-01,Puerto Rico,1000.0,197.0,30.0,24,1259
2017-02-01,Rhode Island,1278.0,731.0,94.0,209,2354
2017-02-01,South Carolina,12510.0,6324.0,637.0,2679,41969
2017-02-01,South Dakota,3569.0,3533.0,287.0,170,9754
2017-02-01,Tennessee,31982.0,16425.0,1559.0,0,69264
2017-02-01,Texas,56786.0,33238.0,3083.0,3523,137470
2017-02-01,Utah,4371.0,4252.0,262.0,0,24889
2017-02-01,Vermont,1885.0,1538.0,104.0,59,3594
2017-02-01,Virgin Islands,26.0,8.0,0.0,0,106
2017-02-01,Virginia,28434.0,16587.0,1170.0,0,47038
2017-02-01,Washington,18785.0,11860.0,2185.0,842,52154
2017-02-01,West Virginia,8917.0,6203.0,281.0,668,22449
2017-02-01,Wisconsin,18147.0,12247.0,858.0,57,50720
2017-02-01,Wyoming,1839.0,1646.0,123.0,113,4554
2017-01-01,Alabama,6770.0,6572.0,301.0,278,41542
